Symbol,Frequency
IN,510
E ,465
Y ,367
OU,342
NG,326
 B,295
OR,279
D ,269
TH,269
G ,264
HO,262
T ,261
 A,257
ER,257
AN,250
HE,245
AR,241
IT,239
IC,232
 O,231
 P,225
A ,223
OO,223
 F,223
BO,212
RO,209
 T,207
OW,202
HI,193
ON,191
 H,190
CK,188
CH,187
OF,185
IG,184
 W,179
ND,178
VE,176
KE,176
GH,175
HA,174
AL,173
 G,173
WA,170
LI,165
BA,162
AC,161
EA,158
N ,158
GE,157
RI,157
 C,146
R ,146
 S,146
LO,144
AT,142
GO,142
UR,141
PA,140
F ,138
AY,138
LA,136
ID,134
VI,132
RA,132
FO,130
LE,130
US,126
UN,125
K ,125
WI,124
TO,124
OL,124
SH,123
TI,122
RE,121
H ,120
AI,117
CE,117
UT,117
MA,117
PE,117
QU,116
AG,116
PO,115
ED,114
FF,114
ME,114
FI,113
BU,113
CO,112
IS,111
ES,110
DE,110
BI,110
FA,109
 I,109
KI,109
WO,108
BL,106
UG,104
 M,104
AV,103
 D,102
OP,102
IO,102
PI,101
IE,100
UI,99
IL,98
OT,98
BR,95
YO,94
OG,94
AK,93
EN,93
O ,93
DO,92
ST,92
NI,91
OD,90
 V,90
OK,89
OM,89
RD,89
UP,88
BE,87
AP,87
L ,87
AD,86
AB,86
 J,84
S ,84
GR,83
OV,83
TY,83
HT,83
JO,82
AM,82
AS,81
GU,81
CA,81
OA,80
PR,79
IR,78
DI,77
NE,76
SI,76
MO,75
TA,75
VO,75
OI,75
IV,74
UM,73
GI,73
TE,71
VA,71
SE,70
NT,69
FL,69
UB,68
HU,68
UL,68
ET,68
GA,68
UE,67
RK,65
WN,65
AU,64
MI,63
JU,62
MP,61
RY,61
IA,61
LU,60
IP,60
LY,60
OB,59
OC,59
WE,58
AW,58
PL,57
P ,57
NK,57
PU,56
RT,56
EY,56
UA,55
LD,55
 L,55
FU,55
 Y,55
PP,55
LL,53
M ,53
BY,53
IF,52
I ,52
NO,52
PH,52
 K,51
IM,51
DA,50
EW,50
 U,50
WH,49
FE,48
OS,47
W ,47
OY,47
TS,46
 R,45
UD,45
CL,45
CT,44
NC,44
BB,44
DS,44
SO,44
CU,42
JA,41
NS,41
EL,41
EX,39
CI,39
C ,39
EC,39
DG,38
IZ,37
SK,37
RM,37
SP,37
DU,36
 E,36
RS,36
NA,35
GL,35
TC,34
GG,33
KS,33
SY,33
CR,33
MY,33
ZZ,33
FR,32
KY,31
UC,31
EI,31
MB,30
DR,30
IK,29
SU,29
DY,29
 Q,29
UF,29
IB,29
OX,28
HY,28
PS,28
SA,28
TR,28
FT,27
RG,27
ZE,27
SS,26
EE,26
YA,26
AF,26
RU,26
LF,26
XI,26
EV,26
AZ,24
LK,24
GY,24
TU,23
EM,23
MU,23
KN,23
EP,23
PY,23
I',23
YI,23
EB,22
CY,22
EO,22
LT,22
'M,21
IX,21
AX,21
EF,21
SQ,20
RN,20
UY,19
EG,19
NY,19
SC,19
VY,18
RB,18
ZY,18
 &,18
 N,18
& ,18
EH,18
FY,17
AH,17
KA,17
RC,16
UZ,16
B ,16
YE,16
IQ,15
WL,15
SW,15
YB,15
OE,15
WS,14
DB,14
JE,14
GN,13
YS,13
PT,13
GS,13
WD,13
X ,13
RW,13
RF,13
RL,13
SM,13
TW,13
DD,13
IU,13
YM,12
LS,12
YC,12
KB,11
ZA,11
E-,11
ZI,11
XE,10
HF,10
-H,10
KO,10
YP,10
F-,10
AJ,10
U ,10
BS,10
JI,10
OZ,9
