X,Y,Frequency
I,N,0.01715035141406329
E, ,0.01563708511282241
Y, ,0.012341527390120052
O,U,0.011500823889430675
N,G,0.010962773648989474
 ,B,0.009920301308134647
O,R,0.009382251067693446
D, ,0.009045969667417695
T,H,0.009045969667417695
G, ,0.00887782896727982
H,O,0.00881057268722467
T, ,0.008776944547197095
 ,A,0.008642431987086795
E,R,0.008642431987086795
A,N,0.008407035006893769
H,E,0.008238894306755893
A,R,0.008104381746645593
I,T,0.008037125466590442
I,C,0.007801728486397417
 ,O,0.0077681003463698425
 ,P,0.007566331506204392
A, ,0.007499075226149242
O,O,0.007499075226149242
 ,F,0.007499075226149242
B,O,0.0071291656858459155
R,O,0.007028281265763191
 ,T,0.006961024985708041
O,W,0.0067928842855701655
H,I,0.006490231025321989
O,N,0.006422974745266839
 ,H,0.006389346605239264
C,K,0.006322090325184114
C,H,0.006288462185156539
O,F,0.006221205905101388
I,G,0.006187577765073814
 ,W,0.0060194370649359384
N,D,0.005985808924908363
V,E,0.005918552644853213
K,E,0.005918552644853213
G,H,0.0058849245048256385
H,A,0.005851296364798063
A,L,0.005817668224770488
 ,G,0.005817668224770488
W,A,0.005716783804687763
L,I,0.005548643104549888
B,A,0.005447758684467162
A,C,0.005414130544439587
E,A,0.005313246124356862
N, ,0.005313246124356862
G,E,0.005279617984329287
R,I,0.005279617984329287
 ,C,0.004909708444025961
R, ,0.004909708444025961
 ,S,0.004909708444025961
L,O,0.004842452163970811
A,T,0.004775195883915661
G,O,0.004775195883915661
U,R,0.004741567743888085
P,A,0.004707939603860511
F, ,0.004640683323805361
A,Y,0.004640683323805361
L,A,0.00457342704375021
I,D,0.00450617076369506
V,I,0.00443891448363991
R,A,0.00443891448363991
F,O,0.00437165820358476
L,E,0.00437165820358476
U,S,0.00423714564347446
U,N,0.004203517503446884
K, ,0.004203517503446884
W,I,0.004169889363419309
T,O,0.004169889363419309
O,L,0.004169889363419309
S,H,0.004136261223391734
T,I,0.004102633083364159
R,E,0.004069004943336584
H, ,0.004035376803309009
A,I,0.0039344923832262835
C,E,0.0039344923832262835
U,T,0.0039344923832262835
M,A,0.0039344923832262835
P,E,0.0039344923832262835
Q,U,0.0039008642431987085
A,G,0.0039008642431987085
P,O,0.0038672361031711336
E,D,0.0038336079631435586
F,F,0.0038336079631435586
M,E,0.0038336079631435586
F,I,0.0037999798231159836
B,U,0.0037999798231159836
C,O,0.0037663516830884086
I,S,0.003732723543060833
E,S,0.003699095403033258
D,E,0.003699095403033258
B,I,0.003699095403033258
F,A,0.003665467263005683
 ,I,0.003665467263005683
K,I,0.003665467263005683
W,O,0.003631839122978108
B,L,0.0035645828429229577
U,G,0.0034973265628678077
 ,M,0.0034973265628678077
A,V,0.0034636984228402327
 ,D,0.0034300702828126577
O,P,0.0034300702828126577
I,O,0.0034300702828126577
P,I,0.0033964421427850828
I,E,0.0033628140027575073
U,I,0.0033291858627299323
I,L,0.0032955577227023573
O,T,0.0032955577227023573
B,R,0.003194673302619632
Y,O,0.003161045162592057
O,G,0.003161045162592057
A,K,0.003127417022564482
E,N,0.003127417022564482
O, ,0.003127417022564482
D,O,0.003093788882536907
S,T,0.003093788882536907
N,I,0.003060160742509332
O,D,0.003026532602481757
 ,V,0.003026532602481757
O,K,0.0029929044624541815
O,M,0.0029929044624541815
R,D,0.0029929044624541815
U,P,0.0029592763224266065
B,E,0.0029256481823990315
A,P,0.0029256481823990315
L, ,0.0029256481823990315
A,D,0.0028920200423714565
A,B,0.0028920200423714565
 ,J,0.002824763762316306
S, ,0.002824763762316306
G,R,0.002791135622288731
O,V,0.002791135622288731
T,Y,0.002791135622288731
H,T,0.002791135622288731
J,O,0.002757507482261156
A,M,0.002757507482261156
A,S,0.002723879342233581
G,U,0.002723879342233581
C,A,0.002723879342233581
O,A,0.002690251202206006
P,R,0.002656623062178431
I,R,0.0026229949221508557
D,I,0.0025893667821232807
N,E,0.0025557386420957057
S,I,0.0025557386420957057
M,O,0.0025221105020681307
T,A,0.0025221105020681307
V,O,0.0025221105020681307
