Symbol,Frequency
ING,269
NG ,224
THE,148
HE ,137
 OF,135
 TH,123
IGH,116
OF ,111
 A ,94
AND,86
GHT,81
ACK,80
ND ,79
YOU,79
 BO,74
WOR,73
OUT,72
OUR,72
 FO,66
OVE,66
IN ,64
FOR,63
ED ,62
 AN,62
 HO,62
 PA,62
KIN,62
 FA,61
 BA,60
AGE,60
ICK,59
ION,59
ICE,59
OOD,58
ARD,58
IDE,58
 WA,56
OOK,56
WAY,55
GH ,55
OWN,55
 HA,54
 GO,54
UGH,53
 TO,53
OUN,53
OFF,53
CK ,52
IT ,52
Y B,50
QUI,50
 BU,50
 WI,50
 PO,50
 YO,48
VE ,47
BOO,47
PRO,46
AKE,46
PER,45
E A,45
T O,45
BLE,44
ROU,44
TIO,44
LE ,44
 WO,44
WIN,44
VER,44
OIN,43
ER ,43
E B,43
ORK,43
E P,42
OME,42
 CO,42
LY ,42
OUS,42
 IT,41
 UP,41
E O,41
HEA,41
IND,41
 BR,41
HIN,41
TY ,40
HIG,40
AVE,39
CKE,38
GRO,38
GOO,38
 JO,38
AY ,38
KE ,38
AL ,37
G A,37
ITY,37
UR ,37
IC ,37
HOU,36
ROW,36
 DO,36
IVE,36
OUG,36
DGE,35
GE ,35
OD ,35
N T,35
TO ,35
 CH,35
ON ,35
 GR,35
GRA,34
OT ,34
VIN,34
 OU,34
BAC,34
E W,34
OR ,34
AIR,33
E G,33
OCK,33
CHI,33
Y F,33
APP,33
INT,33
TCH,32
HOT,32
A B,32
SHO,32
A H,32
OW ,32
UND,32
Y W,32
PIN,32
 IN,32
QUE,31
OKE,31
BRI,31
T A,31
PLA,31
G B,31
LOW,31
REA,31
 VO,31
HT ,31
ISH,30
 FI,30
TH ,30
 VI,30
UIT,30
USE,30
BY ,30
 PR,30
VAL,29
 FL,29
UFF,29
RY ,29
 MA,29
UT ,29
 QU,29
HER,29
QUA,29
ME ,29
WAR,29
 HU,28
DOW,28
AT ,28
EAK,28
 KI,28
 SH,28
LD ,28
HAN,28
ID ,28
HOL,27
D F,27
CE ,27
OPE,27
UIC,27
 BE,27
 GA,27
OOT,27
COM,27
 HE,26
 GU,26
OLI,26
TOU,26
 BI,26
MY ,26
HOP,26
HOR,26
CHE,26
ANG,26
CHO,26
Y S,26
OLD,25
ATI,25
ALI,25
ROO,25
 ME,25
ATH,25
AIN,25
 HI,25
E I,25
A W,25
KEY,25
NK ,25
E H,25
ONE,25
PHO,25
ACE,25
IVI,25
HOM,24
WER,24
BAN,24
BOA,24
KER,24
ORD,24
 JA,24
FUL,24
THI,24
G P,24
BIT,24
Y T,24
 PI,23
WHI,23
PAR,23
INK,23
T T,23
LOG,23
ASH,23
CH ,23
FIC,23
E F,23
Y C,23
UNG,23
CHA,23
AUG,23
D B,23
ST ,23
BRO,23
KET,23
UMP,23
UP ,23
AVO,23
KY ,23
UST,22
UDG,22
FIN,22
BOX,22
FLA,22
Y G,22
Y P,22
PAC,22
HOW,22
IKE,22
LIC,22
ITE,22
LIG,22
BRE,22
RE ,22
ORT,22
INE,22
 WH,22
 LA,22
I'M,21
URE,21
EIG,21
BAB,21
TE ,21
YIN,21
FAI,21
PIC,21
ACH,21
BIG,21
FFI,21
NCH,21
E C,21
FOO,21
AKI,21
BOU,21
 VA,21
A F,21
HUG,21
'M ,21
OIC,21
VOR,21
AWA,21
D O,21
AR ,20
JOB,20
PAT,20
POW,20
INI,20
VID,20
VIE,20
EY ,20
SQU,20
BLI,20
D A,20
RIE,20
ACT,20
BUS,20
G H,20
EAR,20
T B,20
ORI,20
SHA,20
WIT,20
 PL,20
Y H,20
 SO,20
ANK,20
BOY,20
 CL,19
WOO,19
DAY,19
LIN,19
HAT,19
HAR,19
POI,19
 CA,19
K O,19
ILL,19
BLA,19
LAN,19
RD ,19
G W,19
US ,19
GOL,19
IFT,19
ABY,19
JAC,19
UBL,19
EAV,19
GO ,19
EN ,19
BEA,19
LAY,19
OWE,19
OAR,18
AVI,18
PRI,18
F T,18
E M,18
E T,18
AN ,18
 & ,18
ITI,18
GIN,18
S A,18
ILI,18
RAP,18
D T,18
 PU,18
GIV,18
ITH,18
RIG,18
KNO,18
 JU,18
 BL,18
AIT,18
IES,18
BAG,17
ARK,17
CAR,17
D C,17
T F,17
 MY,17
RIC,17
ABO,17
EAD,17
VOI,17
GUI,17
PPE,17
BOW,17
OND,17
HIC,17
N F,17
UNC,17
LL ,17
HON,17
ATC,17
LOO,17
HOO,17
WIS,17
ARM,16
ICI,16
D G,16
HUM,16
VES,16
 ON,16
UBB,16
LIT,16
ART,16
UAL,16
Y D,16
ENT,16
OAD,16
UZZ,16
ATE,16
GUE,16
AVY,16
 MI,16
NT ,16
E R,16
BRA,16
FIG,16
 AP,16
AIL,16
BLO,16
 DR,16
G F,16
NE ,16
DEA,16
DER,16
 FU,16
G O,16
AFF,16
TIN,16
IEW,16
FAC,16
IE ,16
IG ,16
D P,16
EAT,16
NOW,16
 OP,15
 CU,15
 KN,15
 OV,15
ONS,15
IST,15
LAU,15
 DI,15
IQU,15
OOL,15
HAV,15
FLI,15
 RI,15
IAN,15
COU,15
ITA,15
ILD,15
OPI,15
E J,15
HUN,15
 LO,15
 SU,15
RID,15
 ST,15
ORM,15
ORY,15
E S,15
POL,15
 EX,15
MEN,15
HAL,15
MIN,15
ERS,15
D H,15
ARY,15
ALL,15
UID,15
SIG,15
S O,15
MIX,15
GLO,15
VIC,15
PY ,15
MOR,15
HAI,15
RTH,15
UNK,14
OAT,14
K B,14
DOG,14
STA,14
MAG,14
NGE,14
ICA,14
BIK,14
MAK,14
CAL,14
ANT,14
UE ,14
F H,14
E V,14
PIE,14
MOV,14
OWL,14
UAR,14
 MO,14
USY,14
Y O,14
HAP,14
 SP,14
UGE,14
SY ,14
ABL,14
ROP,14
RIV,14
WHA,14
OOF,14
HIT,14
HIP,14
HIL,14
PPY,14
RDS,14
A G,14
VEN,14
TOP,14
CRO,14
PEA,14
 AB,14
OMP,14
OOM,14
TOR,14
OG ,14
FFE,14
N A,14
